,clust_to_rv,gene_name,ortho,cog,product,refseq,count,score,name_to_rv,pan
Cluster 2952,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 2953,Rv2892c,PPE45,216594.MMAR_1849,S,PPE family protein,Z578_00858,1590,226.2,0,Core
Cluster 2954,Rv3423c,alr,419947.MRA_3463,M,Alanine racemase (EC 5.1.1.1),Z578_02525,1595,906.6,0,Core
Cluster 2955,Rv0557,mgtA,419947.MtubH3_010100010174,M,Mannosyltransferase PimB,Z578_02909,1595,836.6,0,Core
Cluster 2956,0,0,0,0,hypothetical protein,None,9,0.0,0,Acces
Cluster 2957,0,0,0,0,PPE family protein,N045_01456,3,0.0,0,Uniq
Cluster 2958,0,PIMC,419947.MRA_1768B,M,Glycosyl transferase family protein,AP49_03998,557,840.4,0,Acces
Cluster 2959,0,0,0,0,putative secreted protein,Z564_01786,2,0.0,0,Uniq
Cluster 296,0,0,0,0,PE-PGRS family protein,I106_03651,1,0.0,0,Uniq
Cluster 2960,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 2961,Rv1656,argF,419947.MRA_1667,E,Ornithine carbamoyltransferase (EC 2.1.3.3),None,1594,672.4,0,Core
Cluster 2962,Rv2328,PE23,0,0,PE family protein,None,1595,0.0,0,Core
Cluster 2963,Rv0154c,fadE2,557599.MkanA1_010100002517,I,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE2",Z578_00360,1594,844.0,0,Core
Cluster 2964,Rv2294,Rv2294,83332.Rv2294,E,"Cystathionine beta-lyase, type II (EC 4.4.1.8)",Z578_00789,1592,922.2,0,Core
Cluster 2965,Rv3212,Rv3212,419947.MRA_3251,S,putative membrane protein,Z578_01177,1594,877.8,0,Core
Cluster 2966,Rv3827c,Rv3827c,83332.Rv2791c,L,Mobile element protein,Z578_03038,1589,735.4,0,Core
Cluster 2967,Rv1004c,Rv1004c,0,0,hypothetical protein,AL82_01046,1493,0.0,0,Acces
Cluster 2968,0,0,0,0,PE-PGRS family protein,None,2,0.0,0,Uniq
Cluster 2969,Rv2067c,Rv2067c,0,0,SAM-dependent methyltransferase,Rv2067c,3,0.0,0,Uniq
Cluster 297,0,MRA_3390,419947.MRA_3390,N,PPE family protein,None,11,4914.7,0,Acces
Cluster 2970,0,0,0,0,ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42),J112_10130,1,0.0,0,Uniq
Cluster 2971,Rv3556c,fadA6,392499.Swit_3630,I,Probable acetyl-CoA acetyltransferase FadA6 (EC 2.3.1.9),None,1595,547.6,0,Core
Cluster 2972,Rv3532,PPE61,1041522.MCOL_19217,S,PPE family protein,X145_00024,1591,238.7,0,Core
Cluster 2973,0,0,0,0,hypothetical protein,X314_01138,332,0.0,0,Acces
Cluster 2974,Rv1589,bioB,419947.MRA_1599,H,Biotin synthase (EC 2.8.1.6),None,1594,774.2,0,Core
Cluster 2975,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 2976,Rv2963,Rv2963,83332.Rv2963,P,putative integral membrane protein,Z578_00930,1594,876.4,0,Core
Cluster 2977,Rv1797,eccE5,0,0,"Membrane protein EccE5, component of Type VII secretion system ESX-5",Z578_01306,1595,0.0,0,Core
Cluster 2978,Rv3915,Rv3915,83332.Rv3915,M,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Z578_02359,1594,900.1,0,Core
Cluster 2979,Rv0688,Rv0688,419947.MRA_0697,C,Ferredoxin reductase,T594_02725,1595,888.9,0,Core
Cluster 298,0,0,0,0,PPE family protein,W052_01935,8,0.0,0,Acces
Cluster 2980,Rv2780,ald,419947.MRA_2804,E,Alanine dehydrogenase (EC 1.4.1.1),AJ41_01692,1594,814.8,0,Core
Cluster 2981,Rv1807,PPE31,216594.MMAR_1849,S,PPE family protein,None,1593,301.7,0,Core
Cluster 2982,Rv1963c,mce3R,710685.MycrhN_4178,K,"Transcriptional regulator, AcrR family",J114_10470,1595,577.1,0,Core
Cluster 2983,Rv1392,metK,419947.MRA_1401,H,S-adenosylmethionine synthetase (EC 2.5.1.6),BA33_02505,1594,890.0,0,Core
Cluster 2984,Rv3330,dacB1,83332.Rv3330,M,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),T569_03894,1595,870.9,0,Core
Cluster 2985,Rv0115,hddA,83332.Rv0115,G,"D,D-heptose 7-phosphate kinase",K849_04050,1581,811.3,0,Acces
Cluster 2986,Rv1101c,Rv1101c,419947.MRA_1112,S,FIG00818075: possible membrane protein,None,1595,826.9,0,Core
Cluster 2987,0,0,0,0,PE-PGRS family protein,V196_01950,1,0.0,0,Uniq
Cluster 2988,Rv0619,galTb,875328.JDM601_0566,G,Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10),None,1594,329.4,0,Core
Cluster 2989,Rv1361c,PPE19,216594.MMAR_1849,S,PPE family protein,T624_01414,1439,241.7,0,Acces
Cluster 299,0,0,0,0,PE-PGRS family protein,AL19_01507,1504,0.0,0,Acces
Cluster 2990,0,0,0,0,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),BA28_01440,1,0.0,0,Uniq
Cluster 2991,0,0,0,0,Apolipoprotein N-acyltransferase (EC 2.3.1.-),AN63_02842,1,0.0,0,Uniq
Cluster 2992,0,0,0,0,POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE),Q623_03367,2,0.0,0,Uniq
Cluster 2993,Rv3700c,Rv3700c,83332.Rv3700c,E,Pyridoxal-phosphate-dependent protein EgtE (ergothioneine synthase),AL24_03670,1595,836.7,0,Core
Cluster 2994,Rv2847c,cysG,419947.MRA_2870,H,Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107),Z578_03314,1595,850.8,0,Core
Cluster 2995,Rv1074c,fadA3,419947.MRA_1084,I,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),Z578_03821,1593,862.2,0,Core
Cluster 2996,Rv0438c,moeA2,419947.MRA_0443,H,Molybdopterin molybdenumtransferase (EC 2.10.1.1),T594_02991,1594,871.4,0,Core
Cluster 2997,Rv1787,PPE25,216594.MMAR_1849,S,PPE family protein,X333_00943,1453,254.4,0,Acces
Cluster 2998,Rv0075,Rv0075,419947.MRA_0077,E,"Cystathionine beta-lyase, type II (EC 4.4.1.8)",None,1590,887.6,0,Core
Cluster 2999,Rv1302,rfe,419947.MRA_1310,M,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),AN39_00110,1593,850.4,0,Core
Cluster 3,0,0,0,0,PE-PGRS family protein,Q643_03651,825,0.0,0,Acces
Cluster 30,0,MRA_0364,419947.MRA_0364,N,PPE family protein,AJ20_02771,47,6768.1,0,Acces
Cluster 300,0,0,0,0,PPE family protein,X100_01985,1,0.0,0,Uniq
Cluster 3000,Rv1653,argJ,557599.MkanA1_010100027786,E,Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1),AN01_01611,1593,763.6,0,Core
Cluster 3001,Rv2681,Rv2681,419947.MtubH3_010100019503,J,Ribonuclease D (EC 3.1.26.3),Z578_01562,1594,882.0,0,Core
Cluster 3002,Rv0589,mce2A,875328.JDM601_0122,Q,MCE-family protein MceA,Z578_02942,1593,499.9,0,Core
Cluster 3003,Rv2869c,rip,419947.MRA_2894,M,"Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage",Z578_03339,1594,892.4,0,Core
Cluster 3004,Rv3446c,Rv3446c,419947.MRA_3487,S,"Membrane protein Rv3446c, component of Type VII secretion system ESX-4",Z578_03654,1595,826.5,0,Core
Cluster 3005,Rv0848,cysK2,557599.MkanA1_010100015812,E,Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II),T594_02557,1594,524.1,0,Core
Cluster 3006,Rv0293c,Rv0293c,83332.Rv0293c,S,hypothetical protein Rv0293c,P928_03433,1595,916.5,0,Core
Cluster 3007,Rv3113,Rv3113,443255.SSCG_05364,S,"Hydrolase, haloacid dehalogenase-like family",AO19_02964,1580,118.0,0,Acces
Cluster 3008,0,0,0,0,PE-PGRS family protein,None,3,0.0,0,Uniq
Cluster 3009,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 301,Rv2935,ppsE,875328.JDM601_2211,Q,Phenolpthiocerol synthesis type-I polyketide synthase PpsE,Z578_00902,1595,1965.1,0,Core
Cluster 3010,Rv2338c,moeW,269799.Gmet_2046,H,Molybdopterin biosynthesis protein MoeW,None,1571,268.0,0,Acces
Cluster 3011,Rv0766c,cyp123,419947.MRA_0775,Q,Cytochrome P450,N071_00802,1592,899.0,0,Core
Cluster 3012,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3013,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 3014,0,0,0,0,dicarboxylic acid transporter PcaT,None,1,0.0,0,Uniq
Cluster 3015,0,0,0,0,Serine/threonine-protein kinase PknD (EC 2.7.11.1),X438_00484,2,0.0,0,Uniq
Cluster 3016,Rv0368c,Rv0368c,216594.MMAR_0662,S,Carbon monoxide oxidation accessory protein CoxE,AN35_00090,1520,594.3,0,Acces
Cluster 3017,0,0,0,0,PE-PGRS family protein,X134_03708,2,0.0,0,Uniq
Cluster 3018,0,0,0,0,PE-PGRS family protein,None,18,0.0,0,Acces
Cluster 3019,0,0,0,0,hypothetical protein,I113_03603,1,0.0,0,Uniq
Cluster 302,0,0,0,0,PE-PGRS family protein,V734_03195,1,0.0,0,Uniq
Cluster 3020,0,0,0,0,PPE family protein,W023_00044,3,0.0,0,Uniq
Cluster 3021,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 3022,Rv3731,ligC,419947.MRA_3769,L,ATP-dependent DNA ligase (EC 6.5.1.1) LigC,BA39_02714,1595,821.7,0,Core
Cluster 3023,Rv1627c,Rv1627c,419947.MRA_1637,I,Probable nonspecific lipid-transfer protein,Z578_00530,1593,907.1,0,Core
Cluster 3024,Rv0002,dnaN,419947.MRA_0002,L,DNA polymerase III beta subunit (EC 2.7.7.7),Z578_01815,1595,858.6,0,Core
Cluster 3025,Rv1001,arcA,557599.MkanA1_010100008311,E,Arginine deiminase (EC 3.5.3.6),Z578_02822,1594,787.9,0,Core
Cluster 3026,0,0,0,0,PE-PGRS family protein,X373_02850,1,0.0,0,Uniq
Cluster 3027,Rv3306c,amiB1,164757.Mjls_1272,E,N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14),J112_17760,1595,644.8,0,Core
Cluster 3028,Rv0276,Rv0276,419947.MRA_0284,S,hypothetical protein,AO11_00287,1594,692.9,0,Core
Cluster 3029,0,0,0,0,"Pyruvate,phosphate dikinase (EC 2.7.9.1)",W045_03738,1,0.0,0,Uniq
Cluster 303,Rv3479,Rv3479,419947.MRA_3519,S,hypothetical protein,P983_03622,1592,2267.1,0,Core
Cluster 3030,0,0,0,0,hypothetical protein,None,8,0.0,0,Acces
Cluster 3031,Rv3140,fadE23,419947.MRA_3173,I,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE23",Z578_03583,1595,875.8,0,Core
Cluster 3032,Rv1770,Rv1770,83332.Rv1770,S,Putative aminopeptidase,Z578_03799,1594,882.9,0,Core
Cluster 3033,Rv1367c,Rv1367c,419947.MRA_1377,V,Beta-lactamase class C and other penicillin binding proteins,Z578_04017,1593,859.8,0,Core
Cluster 3034,0,0,0,0,"13E12 repeat family protein, HNH endonuclease domain",None,5,0.0,0,Acces
Cluster 3035,Rv3778c,Rv3778c,710685.MycrhN_1970,E,Cysteine desulfurase (EC 2.8.1.7),X429_01991,1593,675.9,0,Core
Cluster 3036,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 3037,0,RV0867C,419947.MRA_0874,S,Resuscitation-promoting factor RpfA,Q627_02228,40,809.7,0,Acces
Cluster 3038,0,0,0,0,Chromosome partitioning ATPase,J112_02835,1,0.0,0,Uniq
Cluster 3039,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 304,0,0,0,0,PE-PGRS family protein,X128_01503,490,0.0,0,Acces
Cluster 3040,0,0,0,0,Possible regulatory protein Trx,X089_01488,1,0.0,0,Uniq
Cluster 3041,Rv1697,Rv1697,419947.MRA_1706,S,FIG005773: conserved membrane protein ML1361,None,1594,858.7,0,Core
Cluster 3042,Rv3671c,Rv3671c,419947.MRA_3706,O,Trypsin-like serine protease with C-terminal PDZ domain,Z578_00160,1595,837.7,0,Core
Cluster 3043,Rv1655,argD,419947.MRA_1666,E,Acetylornithine aminotransferase (EC 2.6.1.11),Z578_00559,1594,859.9,0,Core
Cluster 3044,Rv1812c,Rv1812c,557599.MkanA1_010100027546,C,NADH dehydrogenase (EC 1.6.99.3),Z578_01321,1593,697.3,0,Core
Cluster 3045,Rv2416c,eis,419947.MRA_2442,S,Enhanced intracellular survival protein,Z578_02659,1595,901.4,0,Core
Cluster 3046,Rv3499c,mce4A,632772.ROP_47970,S,MCE-family protein MceA,Z578_03498,1595,297.6,0,Core
Cluster 3047,0,0,0,0,PE-PGRS family protein,P517_01895,3,0.0,0,Uniq
Cluster 3048,0,0,0,0,"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)",X212_02170,4,0.0,0,Uniq
Cluster 3049,Rv0393,Rv0393,83332.Rv0393,V,"13E12 repeat family protein, HNH endonuclease domain",None,1569,738.1,0,Acces
Cluster 305,0,0,0,0,PE-PGRS family protein,P923_04054,1,0.0,0,Uniq
Cluster 3050,Rv2176,pknL,419947.MRA_2191,T,Serine/threonine protein kinase PknL (EC 2.7.11.1),Z578_02204,1594,872.2,0,Core
Cluster 3051,Rv3892c,PPE69,0,0,PPE family protein,Z578_02336,1566,0.0,0,Acces
Cluster 3052,Rv3809c,glf,419947.MRA_3849,M,UDP-galactopyranose mutase (EC 5.4.99.9),Z578_03020,1594,927.0,0,Core
Cluster 3053,Rv3861,Rv3861,0,0,"Antiactivator of flagellar biosynthesis FleN, an ATPase",P956_03135,1536,0.0,0,Acces
Cluster 3054,0,0,0,0,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),AO86_03045,2,0.0,0,Uniq
Cluster 3055,0,0,0,0,PE-PGRS family protein,Q624_02749,7,0.0,0,Acces
Cluster 3056,0,0,0,0,Putative helicase,X196_03719,1,0.0,0,Uniq
Cluster 3057,0,0,0,0,PE-PGRS family protein,W106_03122,1,0.0,0,Uniq
Cluster 3058,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3059,0,0,0,0,"13E12 repeat family protein, HNH endonuclease domain",None,1,0.0,0,Uniq
Cluster 306,0,0,0,0,PE-PGRS family protein,X138_01677,11,0.0,0,Acces
Cluster 3060,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3061,Rv0106,Rv0106,632772.ROP_56820,S,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family",Z578_00312,1594,388.6,0,Core
Cluster 3062,Rv1658,argG,419947.MRA_1669,E,Argininosuccinate synthase (EC 6.3.4.5),Z578_00562,1594,893.7,0,Core
Cluster 3063,Rv0593,lprL,710685.MycrhN_2605,S,MCE-family lipoprotein MceE,BA31_00082,1593,252.9,0,Core
Cluster 3064,0,0,0,0,hypothetical protein,None,4,0.0,0,Uniq
Cluster 3065,0,0,0,0,PE-PGRS family protein,T558_01005,4,0.0,0,Uniq
Cluster 3066,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3067,0,0,0,0,PE-PGRS family protein,AJ09_01855,2,0.0,0,Uniq
Cluster 3068,Rv2316,uspA,419947.MRA_2336,P,"Multiple sugar ABC transporter, membrane-spanning permease protein MsmF",X185_02992,1595,615.7,0,Core
Cluster 3069,Rv3726,Rv3726,419947.MRA_3764,E,"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)",Z578_00221,1595,898.9,0,Core
Cluster 307,0,0,0,0,PE-PGRS family protein,P499_00544,1,0.0,0,Uniq
Cluster 3070,Rv1264,Rv1264,419947.MRA_1272,F,Adenylate cyclase (EC 4.6.1.1),Z578_01762,1592,844.6,0,Core
Cluster 3071,Rv1557,mmpL6,1041522.MCOL_11268,P,putative membrane protein,Z578_02580,1414,559.8,0,Acces
Cluster 3072,Rv1462,Rv1462,83332.Rv1462,O,Iron-sulfur cluster assembly protein SufD,Z578_03364,1595,875.7,0,Core
Cluster 3073,Rv0269c,Rv0269c,365046.Rta_06820,L,ATP-dependent DNA ligase (EC 6.5.1.1),T594_03162,1594,496.0,0,Core
Cluster 3074,Rv1737c,narK2,419947.MRA_1748,P,Nitrate/nitrite transporter NarK,CH87_00072,1593,835.4,0,Core
Cluster 3075,Rv2113,Rv2113,83332.Rv2113,S,putative membrane protein,Z548_02615,1595,813.1,0,Core
Cluster 3076,0,0,0,0,L-carnitine dehydratase/bile acid-inducible protein F,None,7,0.0,0,Acces
Cluster 3077,Rv2072c,cobL,419947.MRA_2086,H,"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)",T580_02557,1594,881.8,0,Core
Cluster 3078,Rv1196,PPE18,216594.MMAR_1849,S,PPE family protein,K888_05362,1478,242.0,0,Acces
Cluster 3079,0,0,0,0,Glucoamylase (EC 3.2.1.3),None,2,0.0,0,Uniq
Cluster 308,0,0,0,0,PE-PGRS family protein,X097_03635,245,0.0,0,Acces
Cluster 3080,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 3081,Rv3161c,Rv3161c,83332.Rv3161c,P,"Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit",Z562_03254,1595,879.4,0,Core
Cluster 3082,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3083,Rv3616c,espA,0,0,hypothetical protein,I112_03747,1595,0.0,0,Core
Cluster 3084,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 3085,0,0,0,0,PE-PGRS family protein,T597_00779,1,0.0,0,Uniq
Cluster 3086,0,0,0,0,hypothetical protein,N119_01732,1,0.0,0,Uniq
Cluster 3087,0,0,0,0,PE-PGRS family protein,K850_04028,1,0.0,0,Uniq
Cluster 3088,0,0,0,0,PE-PGRS family protein,P466_03641,2,0.0,0,Uniq
Cluster 3089,Rv2276,cyp121,83332.Rv2276,C,hypothetical protein,Z578_00773,1553,882.1,0,Acces
Cluster 309,0,0,0,0,PE-PGRS family protein,AN42_03623,70,0.0,0,Acces
Cluster 3090,Rv0685,tuf,419947.MRA_0694,J,Translation elongation factor Tu,Z578_02046,1595,875.2,0,Core
Cluster 3091,Rv3359,Rv3359,419947.MRA_3399,C,"NADH:flavin oxidoreductases, Old Yellow Enzyme family",Z578_02461,1595,859.2,0,Core
Cluster 3092,Rv0400c,fadE7,419947.MRA_0406,I,Glutaryl-CoA dehydrogenase (EC 1.3.99.7),T594_03029,1593,897.1,0,Core
Cluster 3093,Rv3372,otsB2,419947.MRA_3412,G,Trehalose-6-phosphate phosphatase (EC 3.1.3.12),V741_03101,1594,856.2,0,Core
Cluster 3094,Rv1106c,Rv1106c,419947.MRA_1117,"['G', 'M']",3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) @ Steroid Delta(5)->Delta(4)-isomerase (EC 5.3.3.1),None,1595,837.6,0,Core
Cluster 3095,0,0,0,0,PE-PGRS family protein,None,2,0.0,0,Uniq
Cluster 3096,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 3097,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 3098,0,0,0,0,PPE family protein,G066_05339,142,0.0,0,Acces
Cluster 3099,0,0,0,0,"ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog",None,1,0.0,0,Uniq
Cluster 31,0,0,0,0,PPE family protein,N065_03271,1,0.0,0,Uniq
Cluster 310,0,0,0,0,PE-PGRS family protein,T598_04070,1,0.0,0,Uniq
Cluster 3100,0,0,0,0,Hydrogenase-4 component B / Formate hydrogenlyase subunit 3,AP60_02574,1,0.0,0,Uniq
Cluster 3101,0,0,0,0,PE-PGRS family protein,AL24_03907,1,0.0,0,Uniq
Cluster 3102,Rv3618,Rv3618,419947.MRA_3654,S,"Limonene 1,2-monooxygenase",Z578_00105,1588,911.5,0,Acces
Cluster 3103,Rv0352,dnaJ1,419947.MRA_0361,O,Chaperone protein DnaJ,Z578_02758,1595,890.7,0,Core
Cluster 3104,0,0,0,0,Mobile element protein,K880_06994,8,0.0,0,Acces
Cluster 3105,0,0,0,0,PE family protein,None,2,0.0,0,Uniq
Cluster 3106,0,0,0,0,Diacyglycerol O-acyltransferase (EC 2.3.1.20),AP24_01752,1,0.0,0,Uniq
Cluster 3107,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 3108,0,0,0,0,FIG005666: putative helicase,None,2,0.0,0,Uniq
Cluster 3109,0,0,0,0,PE-PGRS family protein,AO82_02530,1,0.0,0,Uniq
Cluster 311,Rv2379c,mbtF,886882.PPSC2_c2638,H,Peptide synthetase MbtF @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,Q625_00993,1595,4103.7,0,Core
Cluster 3110,Rv2951c,Rv2951c,557599.MkanA1_010100006410,C,Phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase,None,1594,234.5,0,Core
Cluster 3111,Rv3523,ltp3,419947.MRA_3562,I,Lipid carrier protein IgrF,Z578_00009,1595,879.1,0,Core
Cluster 3112,Rv3570c,hsaA,419947.MRA_3609,I,Pigment production hydroxylase,Z578_00057,1595,908.1,0,Core
Cluster 3113,Rv1706c,PPE23,216594.MMAR_1849,S,PPE family protein,Z578_00610,1593,225.8,0,Core
Cluster 3114,Rv3272,Rv3272,419947.MRA_3313,C,L-carnitine dehydratase/bile acid-inducible protein F,Z578_01240,1588,879.3,0,Acces
Cluster 3115,Rv2768c,PPE43,557599.MkanA1_010100028566,S,PPE family protein,Z578_01650,1587,366.7,0,Acces
Cluster 3116,Rv2463,lipP,419947.MRA_2489,V,Esterase A,Z578_02236,1595,917.0,0,Core
Cluster 3117,Rv2500c,fadE19,557599.MkanA1_010100019861,I,Isovaleryl-CoA dehydrogenase (EC 1.3.8.4),Z578_02273,1595,765.0,0,Core
Cluster 3118,0,0,0,0,Serine/threonine-protein kinase pknE (EC 2.7.11.1),P481_01799,1,0.0,0,Uniq
Cluster 3119,Rv3730c,Rv3730c,83332.Rv3730c,L,ATP-dependent DNA ligase (EC 6.5.1.1),AM30_00521,1595,794.8,0,Core
Cluster 312,Rv3710,leuA,216594.MMAR_5225,E,2-isopropylmalate synthase (EC 2.3.3.13),AN84_03853,1582,1210.6,0,Acces
Cluster 3120,Rv2924c,fpg,419947.MRA_2950,L,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),X190_03030,1595,653.6,0,Core
Cluster 3121,0,MMAR_1849,216594.MMAR_1849,S,PPE family protein,N107_03766,375,227.4,0,Acces
Cluster 3122,0,0,0,0,Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141),X081_01603,1,0.0,0,Uniq
Cluster 3123,Rv3758c,proV,1041522.MCOL_14025,E,Glycine betaine/L-proline transport ATP-binding protein ProV (TC 3.A.1.12.1),Z578_00255,1595,606.4,0,Core
Cluster 3124,Rv1238,sugC,419947.MRA_1247,G,Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19),Z578_01736,1595,858.8,0,Core
Cluster 3125,Rv3025c,iscS,419947.MRA_3056,E,Cysteine desulfurase (EC 2.8.1.7),Z578_01915,1595,844.9,0,Core
Cluster 3126,Rv2495c,bkdC,419947.MRA_2521,C,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168),Z578_02268,1594,820.2,0,Core
Cluster 3127,Rv1372,Rv1372,83332.Rv1372,Q,Chalcone synthase (EC 2.3.1.74),Z578_02371,1591,860.9,0,Core
Cluster 3128,Rv1131,prpC,419947.MRA_1140,C,2-methylcitrate synthase (EC 2.3.3.5),Z578_03275,1595,882.9,0,Core
Cluster 3129,Rv1789,PPE26,216594.MMAR_1849,S,PPE family protein,Z578_04062,1452,278.8,0,Acces
Cluster 313,Rv3794,embA,419947.MRA_3834,M,Integral membrane indolylacetylinositol arabinosyltransferase EmbA (EC 2.4.2.-),None,1594,2443.6,0,Core
Cluster 3130,Rv0894,Rv0894,350058.Mvan_5928,K,Disease resistance domain-containing protein,AL82_00933,1595,397.7,0,Core
Cluster 3131,0,SWOO_2646,419947.MRA_1321,L,Mobile element protein,None,42,434.7,0,Acces
Cluster 3132,0,0,0,0,Citrate synthase (si) (EC 2.3.3.1),None,2,0.0,0,Uniq
Cluster 3133,0,0,0,0,Mobile element protein,None,1,0.0,0,Uniq
Cluster 3134,0,0,0,0,PE-PGRS family protein,T568_00494,1,0.0,0,Uniq
Cluster 3135,Rv3206c,moeB1,419947.MRA_3244,H,Cysteine synthesis adenylyltransferase/sulfurtransferase,Z578_01170,1595,870.1,0,Core
Cluster 3136,Rv0389,purT,246196.MSMEG_0766,F,Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-),Z578_02794,1595,392.2,0,Core
Cluster 3137,Rv2786c,ribF,83332.Rv2786c,H,FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),AL56_02879,1595,727.1,0,Core
Cluster 3138,Rv1936,Rv1936,350058.Mvan_4004,C,Monooxygenase component A,AN99_01707,1594,800.2,0,Core
Cluster 3139,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 314,0,0,0,0,PE-PGRS family protein,V206_03986,1,0.0,0,Uniq
Cluster 3140,0,0,0,0,PE-PGRS family protein,X076_01751,3,0.0,0,Uniq
Cluster 3141,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 3142,Rv3694c,Rv3694c,419947.MRA_3729,S,Integral membrane protein,W088_03374,1595,718.7,0,Core
Cluster 3143,Rv3546,fadA5,419947.MRA_3585,I,Probable acetyl-CoA acetyltransferase FadA5 (EC 2.3.1.9),Z578_00032,1595,862.2,0,Core
Cluster 3144,Rv0693,pqqE,419947.MRA_0701,L,Mycofactocin radical SAM maturase,Z578_02055,1595,914.5,0,Core
Cluster 3145,Rv0272c,Rv0272c,350058.Mvan_0405,S,hypothetical protein Rv0272c,None,1594,711.9,0,Core
Cluster 3146,Rv0204c,Rv0204c,419947.MRA_0212,S,"FIG01121868: Possible membrane protein, Rv0204c",W060_00213,1593,786.7,0,Core
Cluster 3147,0,0,0,0,"Zinc ABC transporter, substrate-binding protein ZnuA",J114_11020,7,0.0,0,Acces
Cluster 3148,Rv0992c,Rv0992c,419947.MRA_0999,H,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),AN20_02121,1595,421.7,0,Core
Cluster 3149,Rv0996,Rv0996,419947.MRA_1003,S,FIG037137: Putative conserved transmembrane protein,AI72_02495,1594,793.0,0,Core
Cluster 315,0,0,0,0,PE-PGRS family protein,AL27_04074,1,0.0,0,Uniq
Cluster 3150,Rv0173,lprK,710685.MycrhN_2605,S,MCE-family lipoprotein MceE,Z578_00380,1594,281.2,0,Core
Cluster 3151,Rv1229c,mrp,83332.Rv1229c,D,Mrp protein homolog,Z578_01727,1595,812.5,0,Core
